leg1_x,leg1_y,leg2_x,leg2_y
0.036835,-0.192317,-0.037932,-0.164232
0.035378,-0.191919,-0.035853,-0.162756
0.033904,-0.191565,-0.033834,-0.161359
0.032413,-0.191252,-0.031871,-0.160039
0.030905,-0.190978,-0.029962,-0.158795
0.029382,-0.190740,-0.028103,-0.157628
0.027843,-0.190538,-0.026294,-0.156535
0.026288,-0.190370,-0.024529,-0.155517
0.024719,-0.190233,-0.022808,-0.154572
0.023135,-0.190125,-0.021128,-0.153699
0.021537,-0.190045,-0.019486,-0.152898
0.019925,-0.189992,-0.017879,-0.152167
0.018299,-0.189962,-0.016306,-0.151504
0.016660,-0.189956,-0.014765,-0.150910
0.015009,-0.189970,-0.013253,-0.150382
0.013346,-0.190003,-0.011768,-0.149919
0.011671,-0.190053,-0.010308,-0.149521
0.009985,-0.190120,-0.008871,-0.149185
0.008288,-0.190200,-0.007456,-0.148910
0.006582,-0.190294,-0.006062,-0.148695
0.004867,-0.190398,-0.004685,-0.148538
0.003143,-0.190512,-0.003325,-0.148439
0.001412,-0.190634,-0.001981,-0.148395
-0.000326,-0.190763,-0.000651,-0.148404
-0.002070,-0.190898,0.000666,-0.148466
-0.003819,-0.191036,0.001972,-0.148579
-0.005572,-0.191176,0.003266,-0.148741
-0.007328,-0.191318,0.004551,-0.148950
-0.009086,-0.191461,0.005827,-0.149205
-0.010845,-0.191602,0.007094,-0.149505
-0.012603,-0.191740,0.008354,-0.149848
-0.014360,-0.191876,0.009606,-0.150231
-0.016114,-0.192007,0.010852,-0.150655
-0.017864,-0.192133,0.012092,-0.151116
-0.019609,-0.192252,0.013325,-0.151613
-0.021346,-0.192364,0.014552,-0.152145
-0.023075,-0.192468,0.015774,-0.152710
-0.024795,-0.192563,0.016989,-0.153307
-0.026502,-0.192649,0.018199,-0.153934
-0.028197,-0.192724,0.019402,-0.154589
-0.029878,-0.192788,0.020599,-0.155270
-0.031541,-0.192841,0.021789,-0.155977
-0.033187,-0.192881,0.022971,-0.156708
-0.034814,-0.192909,0.024146,-0.157461
-0.036418,-0.192923,0.025311,-0.158235
-0.038000,-0.192924,0.026468,-0.159028
-0.039556,-0.192911,0.027615,-0.159839
-0.041085,-0.192884,0.028750,-0.160666
-0.042586,-0.192843,0.029874,-0.161508
-0.044055,-0.192787,0.030985,-0.162364
-0.045492,-0.192716,0.032083,-0.163232
-0.046895,-0.192630,0.033165,-0.164111
-0.048261,-0.192529,0.034231,-0.165000
-0.049588,-0.192412,0.035280,-0.165897
